id,txn_id,status,get_slot,landed_slot,slot_delta,time_at_txn_sent,time_taken_processed
<<<<<<< HEAD
18,46rtwkZ4FLTaLLHdXVjo7ancZSWKX4jZdJr7UeYaQY5b451ZCQAxgoWMSsa9kdRnfX43Dsy6AwDjJeJq6BsrPhta,true,293321915,293321924,9,1727896535,5274
10,2nFgSRZyTapPXcaRPkf1cKAnzgkAXuG3sJzvQ12Zi9gQnB4sFFeuQxs6sNScN3QB7LSkDMLVwHSqejUD11s4dqQ9,true,293321915,293321916,1,1727896535,5478
11,qKi5zfYLSkPTXMYEpqjbbXt7KnMJyBYinZBg7TMbLDuAQXH1v3Ho3xkEDd8C1bHbXwmjhzZoFV9GeW1Xafg9Msv,true,293321915,293321925,10,1727896535,5469
19,4oBHEEXwAevLyYs29dVfHTHgxjtyM3JfKvbHr952YtgmCrgCzrm3S4LzotJNBfguovpLMENL1Lyh2QL14SZpJQVU,true,293321915,293321927,12,1727896535,10326
7,4hrnHDKPZsYdPq1M2u8eWxccUwwytwLHmEEhN18ZCkpBXzZKAEk9QQkAdca7xzKWspdkJLqzpVi7XaZmTNz2WrHL,true,293321893,293321926,33,1727896525,20853
12,4dYFuL9emZW7NDz2QYAo1N5nGBZRhKqp8CgdfEWLVWHqPMU5g1FAj9NdkZg7auBsQuuoDL5LF7qEAttLg4yfHJ7d,true,293321915,293321925,10,1727896535,10713
15,3cSh7kiZKH9KhY5DeuTpqEoVDgaw8KKh5dk87EYQv8rpSCUgy1xMNedbyyTzdfm9jLHNvqggawNP2fQ29rpRWBP3,true,293321915,293321948,33,1727896535,15498
22,3fbSHZyMTk1rRRtZKy1Uu6onW1x4U6ZTqspQXmReXNWjU1PftF21vFe2DUD2SE5w4SbDUnqurMBt9tnDEmqVATfW,true,293321940,293321948,8,1727896546,5250
20,5zk9X5w3yzYW2R7MFBjuyHCEaR1t3nn3knpHxRDgkxZfwoRTPopNYeJyg383YXLysdCrSdUEVBC5ibHcYxZ5RoQK,true,293321933,293321948,15,1727896546,5491
28,3oo6Ribjs3jkcNfHWUfjSuRGQK2PcaX7hJjajaynSePrsrRV5fY6xTceFPEtsdZZcZspCeuwKxv4jqjKNbigrPdH,true,293321940,293321951,11,1727896546,10641
