id,txn_id,status,get_slot,landed_slot,slot_delta,time_at_txn_sent,time_taken_processed
<<<<<<< HEAD
3,63oKEUsEa1UYdnGBw4wiahNW1T4NFd12V7wBSNUbMX3xHQJePx8FwcGraxpnyn9xqLgavPs1pMJ9Dsxzo5jHFLDv,true,293321891,293321896,5,1727896524,5461
5,42tyjnYhF8WVQEZQhXgKgjHqqPcrZXGvYgvknyLsnLTWTtkpUiyYqdiLP3x1Qp4xh9dCiEknDRhtKsaGX6HfuQcU,true,293321891,293321896,5,1727896524,5493
2,28fSQUGmUWRqbf6USykGAgiBYoq2YoiaV6V1sm6fsjGDkrjSoVHkWktSU9TCH6QmUbYqaxju7eUmneTcMh97ihW7,true,293321891,293321896,5,1727896524,5469
4,WUyCiLCHZiQ3sncS7QwoheRJearfU9w4stzXS2MjkqLnNxvcrR628sSWiYuXf94s8TKUDNB3NjmzyDLDmbBGFpo,true,293321891,293321896,5,1727896524,5454
8,2dpkKGjfUDYJEzhsqGMi8km8Zxra6C44dTW39ShQYvhrHb1aUhyix33M8UUcGwL2uiKm7Zr2tAdjAeycPE2wFipm,true,293321891,293321896,5,1727896524,5553
1,26iFpAqWfaMwmEMRwFSWMWogFcZEe6KLAC1wyEEnuvGPiaVmoSCVsfNHrgS9Pv4jvoqD4rw25sHVVYLLQ7vdSjJ4,true,293321893,293321896,3,1727896525,5479
0,56tLnvxwbex6CFBQcbhtFiREgCTmQLJ2d6Zef8efBJb2f5rdEDSDMZ3hLZzkAvo2X7b6aoZ2B7jytaFJwTJ3YJt2,true,293321893,293321896,3,1727896525,5623
7,LH73Vd8NrHG8ajQY5gfoDdmnfpZrco66MmZg4GpcBNenDn9RDc9TxEAu9yPf8TcHdGRm1iE2S6kHcmdJoioqpsX,true,293321894,293321896,2,1727896525,5424
6,5dT7F9cjyXySBLJJDrcCkLeCS4GgtyHfkeMgKJ82o5XLSywnEVyPm23YZQN7PPQNPrva74pxSknVbd3p9jECW5tM,true,293321894,293321896,2,1727896525,5573
